데이터 추출일자,2026-04-27,,
,,,
세그구분,Light,Casual,Power
전월 마감,290,300,180
평균 로그인 일수_당월,1.6,4.6,11.5
평균 로그인 일수_전월,1.2,5.7,9.9
전월 로그인_0일,50,10,5
전월 로그인_1일,110,10,0
전월 로그인_2일,130,60,5
전월 로그인_3일,0,20,0
전월 로그인_4일,0,40,10
전월 로그인_5일,0,50,10
전월 로그인_6일,0,50,10
전월 로그인_7일,0,60,10
전월 로그인_8일,0,0,10
전월 로그인_9일,0,0,90
전월 로그인_10일+,0,0,30
당월 로그인_0일,30,50,0
당월 로그인_1일,100,30,0
당월 로그인_2일,90,50,10
당월 로그인_3일,30,30,10
당월 로그인_4일,20,60,10
당월 로그인_5일,10,30,10
당월 로그인_6일,5,10,10
당월 로그인_7일,5,20,10
당월 로그인_8일,0,10,10
당월 로그인_9일,0,5,80
당월 로그인_10일+,0,5,60
